Algorithm,Size,Min_Comparisons,Max_Comparisons,Avg_Comparisons,Min_Swaps,Max_Swaps,Avg_Swaps
Bubble Sort,100,4950,4950,4950,1861,3072,2475
Selection Sort,100,4950,4950,4950,87,99,94
Insertion Sort,100,1855,3196,2568,1757,3102,2473
Merge Sort,100,515,559,541,672,672,672
Quick Sort,100,515,1030,648,238,756,390
Heap Sort,100,991,1060,1027,552,608,581
Bubble Sort,200,19900,19900,19900,8253,12082,9955
Selection Sort,200,19900,19900,19900,183,199,194
Insertion Sort,200,8556,11870,10141,8360,11677,9947
Merge Sort,200,1250,1310,1281,1544,1544,1544
Quick Sort,200,1283,2251,1563,628,1700,912
Heap Sort,200,2393,2503,2453,1319,1398,1360
Bubble Sort,300,44850,44850,44850,19201,25549,22436
Selection Sort,300,44850,44850,44850,284,299,293
Insertion Sort,300,19477,25967,22724,19183,25675,22430
Merge Sort,300,2055,2135,2097,2488,2488,2488
Quick Sort,300,2196,3652,2584,1028,2517,1493
Heap Sort,300,3954,4076,4024,2160,2260,2211
Bubble Sort,400,79800,79800,79800,34945,46150,39894
Selection Sort,400,79800,79800,79800,384,399,393
Insertion Sort,400,35647,46654,40304,35253,46264,39910
Merge Sort,400,2912,2999,2961,3488,3488,3488
Quick Sort,400,3071,5212,3672,1531,3354,2100
Heap Sort,400,5628,5773,5706,3058,3173,3117
Bubble Sort,500,124750,124750,124750,55595,70726,62380
Selection Sort,500,124750,124750,124750,483,499,493
Insertion Sort,500,55265,69534,62866,54771,69040,62373
Merge Sort,500,3805,3897,3854,4488,4488,4488
Quick Sort,500,4064,6507,4805,2005,4456,2735
Heap Sort,500,7345,7494,7426,3972,4106,4042
Bubble Sort,600,179700,179700,179700,80919,99033,89857
Selection Sort,600,179700,179700,179700,581,599,593
Insertion Sort,600,80612,100965,90425,80021,100376,89832
Merge Sort,600,4737,4842,4792,5576,5576,5576
Quick Sort,600,5086,8015,5980,2504,5604,3385
Heap Sort,600,9165,9337,9248,4943,5088,5018
Bubble Sort,700,244650,244650,244650,109668,133988,122346
Selection Sort,700,244650,244650,244650,682,699,692
Insertion Sort,700,112048,135394,123072,111357,134702,122379
Merge Sort,700,5691,5815,5749,6676,6676,6676
Quick Sort,700,6157,9763,7191,3003,6339,4066
Heap Sort,700,11022,11205,11115,5939,6090,6017
Bubble Sort,800,319600,319600,319600,144003,174651,159767
Selection Sort,800,319600,319600,319600,783,799,792
Insertion Sort,800,146519,174406,160566,145725,173616,159774
Merge Sort,800,6660,6777,6720,7776,7776,7776
Quick Sort,800,7329,11372,8435,3502,7305,4746
Heap Sort,800,12906,13107,13010,6946,7111,7029
Bubble Sort,900,404550,404550,404550,186402,218850,202273
Selection Sort,900,404550,404550,404550,882,899,892
Insertion Sort,900,184642,222713,203260,183751,221821,202368
Merge Sort,900,7638,7774,7709,8876,8876,8876
Quick Sort,900,8434,12601,9685,4112,7857,5442
Heap Sort,900,14817,15038,14924,7954,8141,8052
Bubble Sort,1000,499500,499500,499500,230066,270517,249732
Selection Sort,1000,499500,499500,499500,981,999,992
Insertion Sort,1000,231249,273445,250739,230252,272458,249746
Merge Sort,1000,8637,8770,8707,9976,9976,9976
Quick Sort,1000,9538,15301,10989,4667,9262,6159
Heap Sort,1000,16737,16957,16852,8993,9163,9081
