Algorithm,Size,Min_Comparisons,Max_Comparisons,Avg_Comparisons,Min_Swaps,Max_Swaps,Avg_Swaps
Bubble Sort,100,4950,4950,4950,1812,3118,2477
Merge Sort,100,517,562,541,672,672,672
Quick Sort,100,522,1025,648,246,713,390
Heap Sort,100,990,1059,1027,553,605,581
Bubble Sort,200,19900,19900,19900,8250,11765,9955
Merge Sort,200,1251,1310,1281,1544,1544,1544
Quick Sort,200,1262,2262,1563,613,1505,912
Heap Sort,200,2391,2497,2453,1316,1398,1360
Bubble Sort,300,44850,44850,44850,19163,25354,22416
Merge Sort,300,2053,2133,2097,2488,2488,2488
Quick Sort,300,2185,3684,2582,1076,2526,1488
Heap Sort,300,3965,4084,4024,2160,2265,2211
Bubble Sort,400,79800,79800,79800,35421,45254,39909
Merge Sort,400,2915,3002,2961,3488,3488,3488
Quick Sort,400,3137,5240,3669,1525,3399,2098
Heap Sort,400,5638,5777,5705,3063,3180,3116
Bubble Sort,500,124750,124750,124750,55991,69160,62386
Merge Sort,500,3807,3900,3854,4488,4488,4488
Quick Sort,500,4068,6489,4806,1933,4370,2734
Heap Sort,500,7347,7503,7425,3971,4107,4042
Bubble Sort,600,179700,179700,179700,80069,98051,89834
Merge Sort,600,4734,4844,4792,5576,5576,5576
Quick Sort,600,5141,8061,5984,2477,5398,3390
Heap Sort,600,9136,9340,9247,4947,5086,5018
Bubble Sort,700,244650,244650,244650,111542,133086,122355
Merge Sort,700,5676,5808,5749,6676,6676,6676
Quick Sort,700,6128,9891,7191,3006,6406,4056
Heap Sort,700,11022,11206,11115,5938,6093,6017
Bubble Sort,800,319600,319600,319600,144685,173493,159800
Merge Sort,800,6659,6788,6720,7776,7776,7776
Quick Sort,800,7209,11528,8441,3505,7432,4751
Heap Sort,800,12915,13108,13010,6951,7118,7030
Bubble Sort,900,404550,404550,404550,183850,221088,202262
Merge Sort,900,7638,7769,7709,8876,8876,8876
Quick Sort,900,8334,14445,9694,4186,9366,5440
Heap Sort,900,14821,15026,14924,7955,8137,8052
Bubble Sort,1000,499500,499500,499500,230928,267129,249708
Merge Sort,1000,8626,8767,8706,9976,9976,9976
Quick Sort,1000,9505,14277,10982,4684,9397,6150
Heap Sort,1000,16729,16962,16852,8991,9175,9081
